Data;Imp-Total $;Imp_Bens_capital _$;Imp-Bens intermediarios $;Imp-Bens de consumo($);Imp-Bens de consumo duraveis($);Imp-Bens de consumo semiduraveis e nao duraveis(US$);Imp-Combustiveis e lubrificantes(US$);Imp - Bens nao especificados anteriormente(US$);Exp-Total(US$);Exp- Prod. basicos(US$);Exp-Prod. Semimanufaturados(US$);Exp-Prod. Manufaturados(US$);PIB-mensal(MU$);credito(MR$);Infl- IGPM;Infl-IPCA;Div Publica(MR$);Div publica(M$);Div Pub(%PIB)
jan/09;10308172984;1737100352;5917844680;1248121424;432500995;815620429;1406742023;1833882;9772175972;3558542689;1659868679;4325881604;124896;1235244;-0.44;0.48;1192857.29;515184.11;58.66
fev/09;7823140395;1257824124;4594745686;1102537527;330752533;771784994;869652194;910658;9577634744;3489181535;1303976933;4628859714;125416;1234825;0.26;0.55;1198527.06;504091.13;59.53
mar/09;10057869968;1665874677;5520444122;1632864092;481267700;1151596392;1232456993;1407529;11802303703;4601160849;1343038016;5599789466;138934;1248303;-0.74;0.2;1196634.19;517038.62;60.2
abr/09;8628674830;1631748288;4792152200;1319076691;500671889;818404802;885382157;1189636;12316275443;5594067276;1433670151;5041298743;134806;1254564;-0.15;0.48;1217629.67;559186.99;59.25
mai/09;9370142178;1432742945;5261080814;1376379392;515985198;860394194;1290491212;811073;11977494512;5369692948;1428890547;4966129384;136452;1266918;-0.07;0.47;1255305.58;636500.14;59.11
jun/09;9876841477;1360927053;5771736263;1393267783;576522039;816745744;1337777908;1178673;14460763044;6775868177;1671439236;5737685970;138912;1282923;-0.1;0.36;1271909.27;651993.68;61.12
jul/09;11243948773;1491433293;6576969227;1586379944;588625609;997754335;1565670918;10950650;14137399035;6398490666;1735830756;5744725421;144626;1313534;-0.43;0.24;1309624.96;699660.73;61.47
ago/09;10798619015;1372637234;6547232388;1614323856;669439311;944884545;1252261632;1419268;13836142431;6089500818;1862741308;5585019036;144293;1333320;-0.36;0.15;1315493.35;697652.39;63.01
set/09;12562783403;1562291238;7281821553;1854879946;763463427;1091416519;1849598114;5789147;13855605344;5502411041;1881696930;6161765340;143587;1353111;0.42;0.24;1352484.66;760977.13;63.11
out/09;12777304965;1557541404;7472931391;1985780925;806651161;1179129764;1692227037;57674283;14075282510;5454002141;2142575852;6221708675;148839;1372244;0.05;0.28;1359093.2;779654.2;62.74
nov/09;12057489264;1609259928;6922410882;2032146476;820538091;1211608385;1477876647;767346;12642994284;4394394872;2041975168;5897713033;146113;1392918;0.1;0.41;1358562.54;776454.56;62.76
dez/09;12307166647;1794471190;6532713277;2120248216;911904682;1208343534;1814137217;32196310;14456509361;4730137128;1993488769;7438484042;145750;1420515;-0.26;0.37;1378128.65;791845.93;64.7
jan/10;11503770885;1525690279;6966473406;1676444824;706336739;970108085;1329106451;6055925;11298307700;4072559852;1716509929;5193858114;166863;1430550;0.63;0.75;1354993.66;723048.91;61.7
fev/10;11813442316;1511568181;6953321526;1664496957;641692868;1022804089;1683044286;1011366;12192002643;4752101334;1794324183;5319037782;169089;1441519;1.18;0.78;1380642.62;762701.7;62.1
mar/10;15054279307;1934203723;8827751520;2225434579;845299623;1380134956;2056250347;10639138;15722338627;6635512816;2070785666;6645842512;190127;1458091;0.94;0.52;1399577.96;786191.42;62.99
abr/10;13879032814;1633415031;7909594334;1881179964;803288426;1077891538;2435822953;19020532;15152532140;7015893315;1918672971;5939557691;183173;1474310;0.77;0.57;1405027.69;812248.64;64.58
mai/10;14244396090;1958063561;8154884507;2132183126;893758555;1238424571;1996828098;2436798;17691830074;8569992905;2330000644;6487996648;182609;1505517;1.19;0.43;1407973.82;775358.68;64.93
jun/10;14828947481;2177254316;8305552115;2118604429;923959714;1194644715;2226332498;1204123;17088559146;7625827432;2539128352;6529779025;181958;1536422;0.85;0;1423889.35;790742.13;64.14
jul/10;16330730253;2351714013;9318429193;2209259413;882515435;1326743978;2449679921;1647713;17663334713;7952980495;2566805046;6825190092;189333;1556280;0.15;0.01;1446566.97;823597.68;63.03
ago/10;16828834654;2641948066;9564793421;2462154816;1042634822;1419519994;2141400863;18537488;19219141687;9168736466;2475815154;7134852848;189489;1589856;0.77;0.04;1459448.53;831499.85;62.5
set/10;17759446748;2688761955;9856480874;2637648562;1108829910;1528818652;2574182709;2372648;18825650957;8904418562;2447550612;7148356301;186993;1621541;1.15;0.45;1448230.71;855220.69;62.32
out/10;16552228242;2295328558;9474259784;2556320084;1073802910;1482517174;2225222471;1097345;18372753965;8206689713;2690771834;7178942551;190513;1651813;1.01;0.75;1452759.58;854262.95;62.27
nov/10;17404503366;2479650627;9558250122;2840214314;1215644445;1624569869;2523717473;2670830;17682590623;7430883965;2970191360;6980951522;191475;1685712;1.45;0.83;1468353.89;856033.28;62.14
dez/10;15575357222;2480006973;8753462224;2692337712;1248925988;1443411724;1648037679;1512634;20879294760;9598523899;2677288263;8133011331;188129;1712708;0.69;0.63;1495284.55;897853.1;62.43
jan/11;14817847436;2106793506;8751205034;2325928121;1020092475;1305835646;1610100966;23819809;15207473207;6683222783;2332198916;5920191816;199170;1718711;0.79;0.83;1496047.48;894444.27;59.87
fev/11;15546907843;2151277873;8609555389;2452874313;1056130027;1396744286;2331069260;2131008;16729001375;7359393106;2274966652;6647655166;205112;1741509;1;0.8;1514627.48;912206.38;60.29
mar/11;17735261594;2318568645;9968879276;2714414253;1094507026;1619907227;2731175614;2223806;19277222996;8758757691;2709027392;7426860608;219420;1759678;0.62;0.79;1527057.76;938053.79;60.36
abr/11;18317800913;2395931795;9863438061;2774508026;1283818099;1490689927;3283281667;641364;20161945930;10306853266;2587998171;6778103989;214817;1783487;0.45;0.77;1539945.02;979297.31;60.99
mai/11;19679803667;2730470449;10991258393;2667538535;1158671425;1508867110;3284273455;6262835;23199365887;12099152423;2970635122;7604059156;220646;1812128;0.43;0.47;1555684.57;985171.66;60.5
jun/11;19251134755;2511025821;10742014546;2767016417;1216188452;1550827965;3229843823;1234148;23683910083;10946484288;3296762325;8984751568;218366;1840157;-0.18;0.15;1569058.06;1005613.06;61.08
jul/11;19110922861;2439946370;11011897676;2915355337;1252399658;1662955679;2729072455;14651023;22245125706;10675657018;3321583629;7788800971;223091;1861598;-0.12;0.16;1573965.23;1011870.93;58.58
ago/11;22261138892;2981918884;12530590878;3306595475;1390201943;1916393532;3440237437;1796218;26148242211;12761694441;3935308655;8945256966;227371;1894713;0.44;0.37;1568355.81;988625.7;59.07
set/11;20212024456;2472387923;11237244500;3011468071;1205636437;1805831634;3487491324;3432638;23279896966;11351676167;3449272946;8030462218;219817;1935781;0.65;0.53;1501918.85;810271.28;59.99
out/11;19775115640;2556347106;10522861528;3034618122;1275990064;1758628058;3660642138;646746;22120463148;10921982388;3011369649;7752475943;223477;1950658;0.53;0.43;1557328.59;922697.35;59.82
nov/11;21202832161;3013328178;10915800822;3734105817;1790962601;1943143216;3514629306;24968038;21764079481;10056898106;3389697624;7860532128;223653;1988613;0.5;0.52;1535015.14;847980.96;60.27
dez/11;18333431910;2836697659;9529145705;3153581635;1414160111;1739421524;2812857083;1149828;22119579867;10492452466;2745293498;8494594788;219543;2033954;-0.12;0.5;1536153.85;819238.36;60.63
jan/12;17447420464;2329666524;9748226969;2763601980;1118414975;1645187005;2605314548;610443;16068815622;6939924807;2502172475;6139421820;189399;2033185;0.25;0.56;1571757.02;904088.02;59.49
fev/12;16334451708;2363339735;8962914088;2680587040;1015729034;1664858006;2310053879;17556966;17997128340;7434520136;2700692612;7437046711;192665;2041040;-0.06;0.45;1590253.05;930734.55;61.21
mar/12;18885646783;2482381999;10342149357;3044871004;1171418013;1873452991;3014507803;1736620;20866851083;10137195704;2400510677;7845886939;208759;2078912;0.43;0.21;1557626.95;855134.2;60.02
abr/12;18699061373;2605500293;9792669686;2493879768;1063065426;1430814342;3804072876;2938750;19549415067;10066316923;2201046790;6843640662;200056;2106585;0.85;0.64;1534608.97;811447.21;60.85
mai/12;20264119322;3230963156;10859631015;2836133468;1148356394;1687777074;3325898200;11493483;23201280483;11841789247;2988839343;7813724343;206366;2142061;1.02;0.36;1516641.09;750181.08;61.57
jun/12;18555490041;2525232022;9890903003;2357069418;883227509;1473841909;3780482858;1802740;19340965719;9364495925;2440179439;7079898211;202944;2175135;0.66;0.08;1532365.01;758333.75;62.44
jul/12;18139149673;2493962764;10256148756;2573843642;1084707180;1489136462;2811639693;3554818;20982632833;9992016384;3044413257;7519922333;211392;2192888;1.34;0.43;1534757.32;748881.29;59.59
ago/12;19159157629;2696601380;11708175887;3004362750;1137910912;1866451838;1746206794;3810818;22366137466;10783311916;3006140506;8171582770;216153;2219866;1.43;0.41;1559624.44;765798.11;59.21
set/12;17452583093;2518514152;9922394789;2655512312;833128061;1822384251;2349496221;6665619;19974692566;9457665586;2634836063;7461289387;205145;2244474;0.97;0.57;1557624.07;767302.5;59.79
out/12;20245123808;3036896679;11767634042;3163437675;1075883557;2087554118;2271785883;5369529;21724735819;9234068625;3460787811;8586360310;216196;2276286;0.02;0.59;1567887.31;772054.02;59.98
nov/12;20673385449;2698805389;10319621626;2996587507;1081544397;1915043110;4656544737;1826190;20467330620;8853548436;2914880742;8255673599;210632;2310841;-0.03;0.6;1564275.5;742488.85;60.5
dez/12;17511131680;2675439741;9439333482;2808837134;1176562950;1632274184;2584048813;3472510;19737321572;9273956086;2740081900;7335453893;203842;2368338;0.68;0.79;1581280.63;774037.22;61.61
jan/13;20013308539;2649948010;10573760918;2713430700;814440629;1898990071;4071735770;4433141;15961542921;6542313368;2667977590;6258339553;194234;2366165;0.34;0.86;1599520.85;804709.39;59.02
fev/13;16834341142;2513786415;8960333840;2350603852;640818055;1709785797;3007112525;2504510;15543267737;7050645985;2126665182;6031144881;190831;2383597;0.29;0.6;1631793.22;826266.25;59.27
mar/13;19138599304;2581910809;10492831113;2877928410;952550155;1925378255;3182081139;3847833;19308488676;8876819512;2556362465;7457738429;206887;2427062;0.21;0.47;1623965.4;806658.75;59.16
abr/13;21630002883;2842307076;11484796897;3105238740;1129354536;1975884204;4195221666;2438504;20627048032;10470707425;2456672224;7242116282;208797;2449147;0.15;0.55;1635030.71;817065.97;58.58
mai/13;21048222939;2800636198;11337118645;2796768997;1050278862;1746490135;4107889680;5809419;21819448969;11502337723;2468004746;7393572809;205035;2487294;0;0.37;1618268.69;759251.52;58.13
jun/13;18830624180;2981555659;10671695473;2852606471;1067112789;1785493682;2323478425;1288152;21126804222;9917283951;2384785822;8353002361;202504;2531576;0.75;0.26;1617045.25;730043;58.63
jul/13;22712863189;2769037070;11890110026;3048521424;1128244163;1920277261;4941290239;63904430;20800950742;9982574158;2402155282;7925193445;212977;2545127;0.26;0.03;1614285.77;705020.64;57.58
ago/13;20208165119;2644029860;12090354734;3083292310;1036590141;2046702169;2388612219;1875996;21421598606;10616027059;2732693416;7547996778;213036;2577874;0.15;0.24;1615203.05;680974.35;57.98
set/13;18881649681;2450607719;11147878045;2758634968;951026552;1807608416;2522921802;1607147;20844808826;10491896547;2672882647;7207176404;206743;2597168;1.5;0.35;1656896.58;743202.92;57.74
out/13;23049601170;2949313913;12589889681;3493374165;1327238173;2166135992;4011091274;5932137;22817525747;9626124018;2831658682;9828672883;213500;2604241;0.86;0.57;1683156.11;764376.07;58.08
