Data;Imp-Total $;Imp_Bens_capital _$;Imp-Bens intermediarios $;Imp-Bens de consumo($);Imp-Bens de consumo duraveis($);Imp-Bens de consumo semiduraveis e nao duraveis(US$);Imp-Combustiveis e lubrificantes(US$);Imp - Bens nao especificados anteriormente(US$);Exp-Total(US$);Exp- Prod. basicos(US$);Exp-Prod. Semimanufaturados(US$);Exp-Prod. Manufaturados(US$);PIB-mensal(MU$);credito(MR$);Infl- IGPM;Infl-IPCA;Div Publica(MR$);Div publica(M$);Div Pub(%PIB)
jun/16;12771343238;2669191373;7260132260;1767934786;373468632;1394466154;1058584174;15500645;16737988800;7817498386;2443744255;6093607281;150782;3139311;1.69;0.35;2627112.1;818619;73.3
jul/16;11753856964;1732544359;7369135142;1677409285;367352846;1310056439;968265122;6503056;16327912914;7028035434;2399088817;6560922522;152480;3125682;0.18;0.52;2672668.3;825305.18;72.85
ago/16;12849081694;1380174998;8372963621;2088428854;388771046;1699657808;968401887;39112334;16982986270;7225352706;2700810110;6617985056;154389;3124414;0.15;0.44;2742366.38;846487.76;72.25
set/16;11994668595;1224862939;7774339595;1893550177;375825543;1517724634;1090541745;11374139;15800010272;6560207965;2727877913;6134425806;150036;3120739;0.2;0.08;2805851.53;864509.34;74.24
out/16;11379593538;1268293363;7264342344;1848232773;373216134;1475016639;988075523;10649535;13715472582;5669263888;2231351649;5514033567;149847;3104203;0.16;0.26;2824324.97;888012.88;74.06
nov/16;11466276521;1298037534;7340550222;1876871120;429630852;1447240268;948457417;2360228;16217946018;5539600716;2444018620;7898293606;149762;3113165;-0.03;0.18;2831739.36;833820.96;74.94
dez/16;11529133620;1403314023;7061220510;1937888148;396677200;1541210948;1124883417;1827522;15937523014;5905726080;2653119118;6981626770;151379;3116285;0.54;0.3;2994966.58;919124.31;77.45
jan/17;12197816186;1274015506;8044340376;1797590214;322134844;1475455370;1078251214;3618876;14908254032;6786031099;2597154646;5120843859;160926;3084516;0.64;0.38;3047147.56;974650.58;76.58
fev/17;10913271432;1021043944;6639215139;1672250726;260304864;1411945862;1576796815;3964808;15468689520;7364538452;2205356552;5545685950;162485;3081361;0.08;0.33;3109156.92;1003374.62;77.96
mar/17;12937672447;1419991118;8089239976;2027236270;383369290;1643866980;1342138884;59066199;20073937574;10011376860;2373244679;7231994387;177921;3088701;0.01;0.25;3138396.32;990717.95;79.55
abr/17;10716655171;1115746977;6814726623;1543505558;378441112;1165064446;1242315091;360922;17679829041;9000587535;2108347449;6141339285;168409;3080583;-1.1;0.14;3146590;983985.87;79.77
mai/17;12129014411;1180720862;7496173086;2100114919;456679254;1643435665;1341711799;10293745;19789994972;9702484961;2777893729;6871168698;171279;3075681;-0.93;0.31;3199139.69;986444.97;79.15
jun/17;12595233519;1260820101;7875391346;1815690814;418597423;1397093391;1640972691;2358567;19779121415;9587645414;2989726100;6747577536;170137;3088229;-0.67;-0.23;3230607.09;976722.42;80.63
jul/17;12473405397;1339372147;7873195987;1735336470;377355606;1357980864;1522331435;3169358;18758765145;8355609078;2604801819;7384888622;174050;3062865;-0.72;0.24;3323550.18;1061803.19;79.31
ago/17;13879233351;1471185403;8780612855;2109544682;422321609;1687223073;1517300227;590184;19470948763;8974116100;2791827960;7264504374;176829;3061352;0.1;0.19;3367257.37;1070159.66;81.11
set/17;13488327247;1568795597;8514569895;2090065948;414683370;1675382578;1313345531;1550276;18659335519;8537620504;2883492181;6891001353;171145;3061220;0.47;0.16;3411459.81;1077053.67;81.63
